Company Name,GST ,Turn Over ,Region,City,Type ,Contact Person,Designation,Mobile Number,Email ID,LinkedIN Id,Website URL,Remarks ,Followup
Selvamani Industries,33AFUPD1925N1Z6, Rs. 40 lakhs to 1.5 Cr,SIDCO Kurichi,Coimbatore,Manufacturer,,,0422 267 3915,,,http://www.bestforgings.com/,,
ALAN INDUSTRIES,33CRZPR3581F1Z5,Rs. 0 to 40 lakhs,SIDCO Kurichi,Coimbatore,Manufacturer,,,,,,,,
Best Forgings India Private Limited,33AACCB8876E1ZM,Rs. 1.5 Cr. to 5 Cr. ,SIDCO Kurichi,Coimbatore,Manufacturer,,,0422 267 3435,,,https://www.gowthamind.com/,,
Rovick Industries,33ABCPN6476A1ZX, Rs. 5 Cr. to 25 Cr. ,SIDCO Kurichi,Coimbatore,Manufacturer,,,,,,http://www.highprecisionindustry.com/,,
GOWTHAM INDUSTRIES,33ADYPV5888Q1ZW,Rs. 5 Cr. to 25 Cr.,SIDCO Kurichi,Coimbatore,Manufacturer,,,0422 267 4547,,,http://www.vikingindustries.co.in/,,
High Precision Industry private limited,33AAHCH7662R1ZU,Rs. 0 to 40 lakhs ,SIDCO Kurichi,Coimbatore,Manufacturer,,,0422 267 5406,,,http://statexengg.com/,,
Viking Industries,33AABFV4911A1ZT, Rs. 5 Cr. to 25 Cr. ,SIDCO Kurichi,Coimbatore,Manufacturer,,,0422 267 2929,,,http://www.alpinetape.com/,,
Statex Engineering Private Limited,33AADCS0582K1ZC,Rs. 40 lakhs to 1.5 Cr,SIDCO Kurichi,Coimbatore,Manufacturer,,,098436 22022,,,http://www.janatics.com/,,
Alpine Tape Private Limited,33AAJCA6244L1ZJ. ,Rs. 5 Cr. to 25 Cr,SIDCO Kurichi,Coimbatore,Manufacturer,,,099525 19999,,,http://deepacrushers.in/,,
Janatics HO E-25 Sidco Kuruchi,33AAACJ5553C1Z0, Rs. 500 Cr. and above,SIDCO Kurichi,Coimbatore,Manufacturer,,,0422 267 2800,,,https://www.noahengineeringcbe.com/,,
Deepa crusher Machinery Manufacturers Private Limited,33AABCD1796N1ZD, Rs. 25 Cr. to 100 Cr. ,SIDCO Kurichi,Coimbatore,Manufacturer,,,080 4604 3679,,,http://www.chaintools.in/,,
Noah Engineering,33AZNPS3423M1ZY, Rs. 1.5 Cr. to 5 Cr.,SIDCO Kurichi,Coimbatore,Manufacturer,,,080 4604 3356,,,https://smrengineering.in/,,
Sai automation ,33AFLFS6922B1Z3.,NA,SIDCO Kurichi,Coimbatore,Manufacturer,,,099444 71144,,,http://wwww.saiautomations.com/,,
S.M.R Engineering Industries,,,SIDCO Kurichi,Coimbatore,Machinery parts manufacturer,,,099444 13590,,,,,
Machinery manufacturing,,,SIDCO Kurichi,Coimbatore,Machine shop,,,099766 82562,,,,,
Sidco,33AGWPJ2621A1ZS,,SIDCO Kurichi,Coimbatore,Manufacturer,,,,,,,,
SRI VETRI GANAPATHY INDUSTRIES,33AEJFS4798E1ZN, Rs. 0 to 40 lakhs ,SIDCO Kurichi,Coimbatore,Machine shop,,,093458 56605,,,,,
G.P Industries,,,SIDCO Kurichi,Coimbatore,Machine shop,,,095975 45469,,,http://www.indoshellcast.com/,,
Shumathi Industries, 33AERPC4583P1ZW, Rs. 40 lakhs to 1.5 Cr.,SIDCO Kurichi,Coimbatore,Machine shop,,,094432 55419,,,http://www.tabalightings.com/,,
Indo Shell Cast Private limited, 33AAACI4299N1Z5,Rs. 100 Cr. to 500 Cr,SIDCO Kurichi,Coimbatore,Manufacturer,,,0422 454 1600,,,,,
Nirvan Industries( Now Sri Krishnaa Udyog,,,SIDCO Kurichi,Coimbatore,Manufacturer,,,0422 297 6588,,,https://www.skengineeringequipments.com/,,
Jayanthi Industries,33APSPS1642H1ZN,Rs. 5 Cr. to 25 Cr.,SIDCO Kurichi,Coimbatore,Metal fabricator,,,093633 07773,,,https://www.canlevalve.com/,,
SK ENGINEERING & EQUIPMENTS,33FFXPS5619A1Z3, Rs. 40 lakhs to 1.5 Cr,SIDCO Kurichi,Coimbatore,Material handling equipment supplier,,,,,,,,
Canle Valves Private Limited Coimbatore,33AABCC5192K1ZM.,Rs. 5 Cr. to 25 Cr.,SIDCO Kurichi,Coimbatore,Manufacturer,,,0422 427 8072,,,,,
Sri Krishna Industries,33EMRPD9957C1ZP, Rs. 0 to 40 lakhs,SIDCO Kurichi,Coimbatore,Steel industry,,,094434 28378,,,http://almech.com/,,
Grand precision india private limited,33AAKCG4504E1Z0,,SIDCO Kurichi,Coimbatore,Machine shop,,,080721 12414,,,,,
Almech Enterprise,33AAHPZ5784B1ZF,Rs. 0 to 40 lakhs,SIDCO Kurichi,Coimbatore,Manufacturer,,,093631 22964,,,,,
MIKELIGHT ENGINEERING,33ABNFM8307N1ZR,Rs. 1.5 Cr. to 5 Cr.,SIDCO Kurichi,Coimbatore,Manufacturer,,,,,,http://www.sarvamangalaengineers.com/,,
Jeyam Enterprises, 33AAGFJ4036M1ZB,Rs. 5 Cr. to 25 Cr.,SIDCO Kurichi,Coimbatore,Business networking company,,,,,,,,
Sarvamangala Engineers Pvt Ltd,,,SIDCO Kurichi,Coimbatore,Manufacturer,,,094431 95523,,,,,
SARASWATHI AUTOMATON COIMBATORE,33ABLFS6177N1ZF,Rs. 40 lakhs to 1.5 Cr.,SIDCO Kurichi,Coimbatore,Manufacturer,,,,,,https://udhaya-conveyor-solutions.ueniweb.com/,,
Sigma Industrial,33AANFS8798J1Z8,Rs. 1.5 Cr. to 5 Cr,SIDCO Kurichi,Coimbatore,Metal fabricator,,,098940 79897,,,https://www.coresmith.net/,,
BRIGHT CONVEYOR SYSTEM PVT LTD,33AAHCB1532A1ZI., 0 to 40 lakhs,SIDCO Kurichi,Coimbatore,Manufacturer,,,099944 44187,,,https://www.ats-elgi.com/,,
Bharath Paper Conversions,33AABFB3662J1ZO,Rs. 5 Cr. to 25 Cr. ,SIDCO Kurichi,Coimbatore,Manufacturer,,,080 4877 7627,,,https://www.spindraft.com/,,
