Company Name,Type,Contact Number,Website,
RSM Autokast Pvt. Ltd.,Manufacturer,0422 658 5908,http://www.rsmautokast.com/,Arasur
Sakthi Gear Products Private Limited,Auto parts manufacturer,0422 236 4100,https://sakthigear.com/,Arasur
APM AUTO PARTS PRIVATE LIMITED,Manufacturer,0422 264 7432,http://www.apmautoparts.com/,Arasur
Jayem Automotives Private Limited,Manufacturer,0422 227 1843,http://www.jayemauto.com/,Arasur
MN Auto Products Private Limited,Manufacturer,,https://www.supermnauto.com/,Arasur
G.V.Engineering Works,Machinery parts manufacturer,072004 47800,,Arasur
Sri Sai Auto Parts,Wholesaler,098947 43168,,Arasur
UMS Technologies Limited,Manufacturer,0422 224 3439,,Arasur
Jayem Automotives Private Limited,Manufacturer,0422 227 1843,http://www.jayemauto.com/,Arasur
CSV Automation,Auto parts manufacturer,098941 68393,,Arasur
Shree auto industries,Manufacturer,,,Arasur
MN Auto Products Private Limited,Manufacturer,,https://www.supermnauto.com/,Arasur
Sakthi Gear Products Private Limited,Auto parts manufacturer,0422 236 4100,https://sakthigear.com/,Arasur
Maxwell AutoComponents Pvt Ltd.,Foundry,094899 00832,https://maxwellcasting.com/,Arasur
Roots Industries India Private Limited,Manufacturer,0422 423 5000,http://www.rootsindia.com/,Arasur
Sakthi Auto Ancillary Pvt Ltd,Industrial equipment supplier,0422 264 2613,http://www.saapl.net/,Arasur
APM AUTO PARTS PRIVATE LIMITED,Manufacturer,0422 264 7432,http://www.apmautoparts.com/,Arasur
RABWIN JAINIDHI PVT LTD,Auto machine shop,098431 20540,http://www.jainidhiautomation.com/,Arasur
RSM Autokast Pvt. Ltd.,Manufacturer,0422 658 5908,http://www.rsmautokast.com/,Arasur
Sakthi Gear Products Private Limited (Branch),Manufacturer,095007 03311,https://sakthigear.com/,Arasur
VR ENGINEERS | VMC accessories manufacturer in Coimbatore | VMC HMC Job work coimbatore,Machinery parts manufacturer,098430 24125,,Neelambur
G.V.Engineering Works,Machinery parts manufacturer,072004 47800,,Neelambur
Rexon Automotive Industries,Industrial consultant,,,Neelambur
Jai Nidhi Automation,Manufacturer,,https://www.jainidhiautomation.com/,Neelambur
Rossi Gearmotors (India) Private Limited,Manufacturer,0185 552 0365,http://www.rossi.com/,Neelambur
Hirotec India private limited,Manufacturer,0422 666 6777,https://www.hirotecindia.com/,Neelambur
Hi Acme Automations India Pvt Ltd,Automation company,080150 15090,https://www.hiacme.com/,Neelambur
Suntech Automobile Products,Manufacturer,098428 38079,https://suntechautoproduct.com/,Neelambur
Southern Auto Products Engineers,Auto parts manufacturer,0422 267 3331,,Neelambur
Generic Automech Engineers Private Limited,Manufacturer,098940 51100,https://genericautomech.in/,Neelambur
Orion Engineering Industries,Machining manufacturer,093620 12787,,Neelambur
Sakthi Auto Component Limited-Factory,Auto parts manufacturer,090954 66205,http://www.sakthiauto.com/,Neelambur
Madhavaa Crafts limited- unit-1,Auto parts manufacturer,088848 89289,http://shivalayapc.com/,Neelambur
Amtex Engineering,Stainless steel plant,099948 33884,http://amtex.in/,Neelambur
RABWIN INDUSTRIES PRIVATE LIMITED,Machining manufacturer,093645 74044,https://rabwin.com/,Neelambur
MotoGP autocarriage,Brick Manufacturer,088255 59757,,Neelambur
JS Auto Cast Foundry India Pvt Ltd,Foundry,097888 51444,https://www.jsautocast.com/,Neelambur
Eifco Auto Components Pvt Ltd,Manufacturer,,,Neelambur
Sri Automotive Parts Pvt Ltd,Auto parts store,081244 44443,http://www.sriautomotivepartsprivatelimited.com/,Neelambur
AUTOLINES - UNIT II,Manufacturer,093840 46772,https://www.autolines.in/,Neelambur
Mirror Precision Works,Manufacturer,098946 98622,https://mpwcbe.com/,Neelambur
SIEGER SPINTECH EQUIPMENTS PVT. LTD.,Manufacturer,098947 51798,https://www.siegerglobal.net/,Neelambur
AQF India- Machine Shop Division,Manufacturer,096260 59959,https://aqfindia.com/,Neelambur
Alpha Craft Pvt Ltd,Foundry,0422 221 8720,http://www.alphacraft.in/,Neelambur
Bestex Engineering Works,Machining manufacturer,098434 75722,http://www.bestexengg.com/,Neelambur
Sri Sai Auto Parts,Wholesaler,098947 43168,,Neelambur
"Industrial Drives and Controls (ABB, Crompton Greaves Dealer)",Electric motor store,099441 41479,https://www.industrialdrivesandcontrol.com/,Neelambur
Ferromax Foundries India Pvt Ltd,Steel industry,,,Neelambur
Quality Gears And Engineering.,Manufacturer,098942 74014,http://qualitygears.co.in/,Neelambur
UMS Technologies Limited,Manufacturer,0422 224 3439,,Neelambur
Surfine Tools - Precision Manufacturers Coimbatore,Machinery parts manufacturer,082200 07569,https://www.surfine.co.in/,Neelambur
Pricol Engineering Industries Private Limited,Manufacturer,0422 350 2288,https://www.pricolengineering.com/,Neelambur
New Modern Plastics - injection moulding Component Part manufacturers,Plastic Products Supplier,090950 14575,https://www.newmodernplastics.net/,Neelambur
MICRO TECH Tempo Traveller Spares,Manufacturer,097905 54759,,Neelambur
Coimbatore Auto Parts,Used auto parts store,090475 56556,https://coimbatoreautoparts.com/,Neelambur
"SKL TRADERS, Coimbatore",Industrial equipment supplier,097903 34886,https://www.skltraders.com/,Neelambur
SUGOI ALLY AUTOMATION,Manufacturer,093844 97772,http://www.sugoially.com/,Neelambur
Pricol Limited - Plant 1,Manufacturer,0422 433 1100,http://www.pricol.com/,Neelambur
Sakthi Sugars Limited,Manufacturer,0422 222 1551,http://www.sakthisugars.com/,Neelambur
VOLKSWAGEN SPARE PARTS,Auto parts manufacturer,,,Neelambur
Genuine Machining Systems,Industrial consultant,0422 269 6307,http://www.genuinemachiningsystems.com/,Neelambur
MASS AUTO COMPONENTS,Manufacturer,094440 73054,https://www.massautocomponents.com/,Sulur 
Shree auto industries,Manufacturer,,,Sulur 
Jayem Automotives Private Limited,Manufacturer,0422 227 1843,http://www.jayemauto.com/,Sulur 
Maxwell AutoComponents Pvt Ltd.,Foundry,094899 00832,https://maxwellcasting.com/,Sulur 
Propel Industries Private Limited,Manufacturer,099940 60002,https://www.propelind.com/?utm_source=googlemaps&utm_medium=organic,Sulur 
MN Auto Products Private Limited,Manufacturer,,https://www.supermnauto.com/,Sulur 
Sakthi Gear Products Private Limited,Auto parts manufacturer,0422 236 4100,https://sakthigear.com/,Sulur 
"Car support accessories | Car Accessories Shop in Sulur, Coimbatore",Auto Accessories Store,099944 06020,https://carsupportaccessories.com/,Sulur 
SNF Components P Ltd,Manufacturer,,http://www.snf-ind.com/,Sulur 
APM AUTO PARTS PRIVATE LIMITED,Manufacturer,0422 264 7432,http://www.apmautoparts.com/,Sulur 
SAKTHI AUTOCAST PRIVATE LIMITED,Manufacturer,,,Sulur 
Sakthi Auto Ancillary Pvt Ltd,Industrial equipment supplier,0422 264 2613,http://www.saapl.net/,Sulur 
RABWIN JAINIDHI PVT LTD,Auto machine shop,098431 20540,http://www.jainidhiautomation.com/,Sulur 
