Company Name,Type,Contact Number,Website
Pandiyans Industries | Electrical Panel Board & Control Panel Manufacturer in Coimbatore,Manufacturer,089409 66066,https://pandiyansindustries.in/
Elgi Electric Industries Ltd,Manufacturer,0422 231 1711,http://elgielectric.com/
Matrix Electricals | Panel Board Accessories & other Industrial Products,Industrial equipment supplier,095009 97010,http://www.matrixelectricals.com/
TEXRO ELECTRONICS,Electronics Company,079042 02229,
KVN Industries - Submersible Pumpset Manufacturer,Water Pump Supplier,080567 17612,http://www.kvnpumps.com/
Prabhu Industries,Manufacturer,090037 03051,https://www.prabhuwashdry.com/
HINDUSTHAN HEAVY ELECTRICALS PVT LTD,Electrical equipment supplier,099449 99031,
LAKSHMI FOOD MACHINERY,Food machinery supplier,0422 256 5500,https://lakshmifoodmachinery.in/
Powermag Control Systems Pvt. Ltd.,Automation company,0422 253 2013,https://www.powermag.in/
GEM Manufacturers Private Limited,Manufacturer,0422 253 1179,
Avanashiappan Industries - Manufacturer & Exporter of Commercial Kitchen Equipments,Food machinery supplier,090470 26050,http://www.avanashiappan.com/
Nexus Automation Solutions,Automation company,095979 12908,https://www.nexusautomations.com/
Perfect Engineering Solutions | Distributor of Electric Motors | Geared Motors | Gearbox | VFD & Industrial Products,Industrial equipment supplier,099419 99883,http://perfectengineeringsolutions.com/
GESCO GLOBAL ENGINEERING SYSTEMS & CONTROLS,Water Pump Supplier,099440 57376,http://www.gesco.com/
Verizon Trading Company,Electrical products wholesaler,080728 04058,
FASCO Private Limited (Factory Automation and Solutions Company),Automation company,,http://www.fascoindia.com/
Everon Impex Hollow block machine in Coimbatore | Paver block machine | Interlock brick | Fly Ash brick | Mud brick machine,Manufacturer,098437 62454,http://www.everonimpex.com/
Star Electrical Devices,Kitchen supply store,097866 90111,
MSB INDUSTRIES,Air compressor supplier,099526 26270,http://www.msbaircompressor.com/
Royal Laks Industriess,Electrical equipment supplier,,https://www.indiamart.com/royallaksindustries/
Devi Industries - Cold Pressed Oil Extraction Machine - Marachekku Machine,Manufacturer,094431 74449,https://devimachines.com/
