Company Name,GST,Turn Over,Region ,City,Type ,Contact Person,Designation,Contact Number,Website URL,Remarks ,Followup,
SRI VISHNU FOUNDRY MACHINE SHOP,33ABHFS6590F1ZZ, Rs. 25 Cr. to 100 Cr,Ganapathy,Coimbatore,Machine shop,,,098946 38170,,,,
Bright Castings,33ABPPS1107E1ZX,Rs. 5 Cr. to 25 Cr.,Ganapathy,Coimbatore,Foundry,,,099444 13654,http://www.brightcastings.in/,,,
VR Foundries - Grey Iron And SG Iron Castings Manufacturer & Supplier,33AACFV2137K1Z9, Rs. 100 Cr. to 500 Cr.,Ganapathy,Coimbatore,Foundry,,,094864 39162,http://www.vrfoundries.com/,,,
Annai Velanganni Metal Industries,33AWEPS6100R1Z7,Rs. 25 Cr. to 100 Cr,Ganapathy,Coimbatore,Foundry,,,098946 12570,https://www.indiamart.com/annaivelangannimetalindustries/,,,
Magna Electro Castings Limited - Corporate Office,33AABCM4711E1Z2,Rs. 100 Cr. to 500 Cr. ,Ganapathy,Coimbatore,Manufacturer,,,0422 224 0109,http://www.magnacast.com/,,,
ARJUN FOUNDRY,33AABCM4711E1Z2,Rs. 100 Cr. to 500 Cr.,Ganapathy,Coimbatore,Foundry,,,094433 45263,,,,
Aggni Castings,33AADFA8036B1Z2., Rs. 5 Cr. to 25 Cr,Ganapathy,Coimbatore,Foundry,,,099435 00277,,,,
Precicraft Components India Private Limited,33AADCP0270F1ZX.,Rs. 25 Cr. to 100 Cr.,Ganapathy,Coimbatore,Manufacturer,,,098946 26653,https://precicraftcomponents.com/,,,
Vasantham Foundry,33AACFV3360L1Z4,Rs. 40 lakhs to 1.5 Cr. ,Ganapathy,Coimbatore,Foundry,,,099429 03444,http://www.vasanthamfoundry.com/,,,
Bakgiyam Engineering - Iron Casting Foundry,33AADCP5269L1Z3, Rs. 100 Cr. to 500 Cr.,Ganapathy,Coimbatore,Foundry,,,0422 297 1901,https://www.bakgiyam.com/,,,
Delta Copper Alloys,33AHOPM8854H1ZU,Rs. 40 lakhs to 1.5 Cr,Ganapathy,Coimbatore,Foundry,,,098431 82275,https://deltacopperalloys.com/,,,
Bright Foundries Coimbatore Pvt Ltd,33AACCB5521A1ZI,Rs. 25 Cr. to 100 Cr. ,Ganapathy,Coimbatore,Foundry,,,,https://www.brightcastings.in/,,,
Advent Foundry & Allied Supplies Private Limited,33AAGCA6389P1Z0, Rs. 25 Cr. to 100 Cr,Ganapathy,Coimbatore,Foundry,,,084899 13467,,,,
VEE J PEE Aluminium Foundry PVT LTD - Office,33AACCV7072Q1ZR,Rs. 25 Cr. to 100 Cr.,Ganapathy,Coimbatore,Foundry,,,,https://www.vjp.in/,,,
S.V. Techno Castings, 33ABIFS3809C2ZF,Rs. 40 lakhs to 1.5 Cr. ,Ganapathy,Coimbatore,Manufacturer,,,0422 427 4247,,,,
Adithya tech force private limited.,33AAFCA2805H3Z3,,Ganapathy,Coimbatore,Corporate office,,,,,,,
