Company Name,Type,Contact Number,Website,
,,,,
,,,,
FINESSE PRECISION ENGINEERING,Aerospace company,080560 77474,https://finesseprecision.com/,
precision engineering,Association / Organization,098428 51447,,
Microtech Precision Engineering · Visited link,Manufacturer,,http://microtechgroup.in/,
FINESSE PRECISION ENGINEERING,Aerospace company,080560 77474,https://finesseprecision.com/,
SREE SARO ENGINEERING - PRECISION COMPONENTS,Machine shop,098949 60409,https://www.sreesaro.com/,
Chakradhara Aerospace and Cargo Private Limited,Aerospace company,0422 266 4100,http://cacplglobal.com/,
FINESSE PRECISION ENGINEERING,Aerospace company,080560 77474,https://finesseprecision.com/,
SREE SARO ENGINEERING - PRECISION COMPONENTS,Machine shop,098949 60409,https://www.sreesaro.com/,
Vishal Precision Products Private Limited,Manufacturer,0422 251 3064,http://www.vishalprecision.com/,
K A PRECISION ENGINEERING,Manufacturer,099429 90091,,
Microtech Precision Engineering · Visited link,Manufacturer,,http://microtechgroup.in/,
Mech N Tech Engineers Pvt Ltd,Aerospace company,098946 12384,http://www.mechntech.in/,
Velmayil Industries | Press Tool Manufacturer | precision components manufacturers | Jigs and Fixtures Manufacturer,Machine shop,099521 68840,https://velmayilindustries.com/,
TECHNICRAFT PRECISION ENGINEERS,Machine shop,098438 35908,,
Mirror Precision Works,Manufacturer,098946 98622,https://mpwcbe.com/,
Precision machine tools,Machine shop,,,
LMW ATC,Aerospace company,0422 719 8800,https://www.lmwatc.com/,
Precision Craftters,Manufacturer,098422 08043,http://www.precisioncraftters.com/,
Perfect Precision Engineering,Engineering consultant,097901 37679,,Temporarily closed
precision engineering,Association / Organization,098428 51447,,
Aadhira CNC Product Private Limited,Manufacturer,091506 71070,http://www.aadhira.com/,Permanently closed
Rapid Precision Engineering,Machine shop,,,Permanently closed
PRECISION ENGINEERS,Plastic Injection Molding Workshop,094437 75660,,Permanently closed
