Company Name,GST,Turn Over,Region,City,Type ,Contact Person,Designation,Mobile Number,Email ID,LinkedIN Id,Website URL,Remarks ,Followup
KMP Industries,33AIPPM4067L2ZR,Rs. 0 to 40 lakhs ,Ganapathy,Coimbatore,Water Pump Supplier,,,1800 833 3133,,,http://www.kmpindustries.com/,,
KVN Industries - Submersible Pumpset Manufacturer,33AGHPA7149M1ZA, Rs. 1.5 Cr. to 5 Cr.,Ganapathy,Coimbatore,Water Pump Supplier,,,080567 17612,,,http://www.kvnpumps.com/,,
Cheran Pumps,33AACFC9030C1Z3, Rs. 5 Cr. to 25 Cr. ,Ganapathy,Coimbatore,Manufacturer,,,073737 92300,,,http://www.cheranpumps.com/,,
Point Sales & Services,,,Ganapathy,Coimbatore,Water Pump Supplier,,,,,,,,
ATEXON PUMPS COMPANY,33AADFC3775D1ZS, Rs. 0 to 40 lakhs ,Ganapathy,Coimbatore,Manufacturer,,,094431 57512,,,http://www.atexonpumps.in/,,
SRI CHENDUR PUMP INDUSTRIES,33AXCPM9702C1ZU,Rs. 1.5 Cr. to 5 Cr. ,Ganapathy,Coimbatore,Manufacturer,,,095856 99996,,,http://www.srichendurpump.com/,,
Deccan Pumps Private Limited,33AABCD0403G1ZI, Rs. 25 Cr. to 100 Cr.,Ganapathy,Coimbatore,Pump supplier,,,0422 253 3544,,,http://www.deccanpumps.com/,,
Navin Industries,33AMQPV9769B1ZC, Rs. 40 lakhs to 1.5 Cr,Ganapathy,Coimbatore,Manufacturer,,,098943 46860,,,,,
kera pump industries,33AFAPP3573N1Z6, Rs. 5 Cr. to 25 Cr.,Ganapathy,Coimbatore,Manufacturer,,,,,,,,
C.S.R Industries,33AAGFC6321G1ZV,Rs. 0 to 40 lakhs ,Ganapathy,Coimbatore,Manufacturer,,,090474 38316,,,https://www.csrindustries.in/,,
O.M.I.Pumps,33AAHFO6170C1ZJ,Rs. 5 Cr. to 25 Cr.,Ganapathy,Coimbatore,Manufacturer,,,093600 78009,,,https://omipumps.com/contact-us-solar-water-pumps/?utm_source=google&utm_medium=organic&utm_campaign=gbp_coimbatore,,
Jai Jansi Industries,33AVMPS0899N1ZN, Rs. 5 Cr. to 25 Cr. ,Ganapathy,Coimbatore,Water Pump Supplier,,,,,,http://www.jaijansi.com/,,
Subhiksha Pump Industries,,,Ganapathy,Coimbatore,Water Pump Supplier,,,096291 07304,,,,,
General Electric Motors,33ACPPN3370F1ZL,Rs. 5 Cr. to 25 Cr. ,Ganapathy,Coimbatore,Manufacturer,,,097878 33555,,,https://gemmotors.in/,,
Deccan Industries,33AAAFD9842M1Z7, Rs. 100 Cr. to 500 Cr. ,Ganapathy,Coimbatore,Manufacturer,,,0422 253 1242,,,https://www.deccanindustries.com/,,
kera engineering, 33AEAPT0686D1ZP, Rs. 5 Cr. to 25 Cr.,Ganapathy,Coimbatore,Manufacturer,,,0422 253 7352,,,,,
Ethics Engineers & Traders Coimbatore,33AAFFE0068D1Z0, Rs. 1.5 Cr. to 5 Cr.,Ganapathy,Coimbatore,Water Pump Supplier,,,096009 90875,,,http://www.ethicsengineers.com/,,
AK Pumps & Industries,33BZQPA9823B1ZJ, Rs. 0 to 40 lakhs,Ganapathy,Coimbatore,Manufacturer,,,,,,https://www.indiamart.com/ak-pumps/,,
Krishtex Pumps And Motors,,,Ganapathy,Coimbatore,Manufacturer,,,073733 11722,,,,,
AVM Engineering Industry,33AQVPM8892M1ZN,Rs. 0 to 40 lakhs,Ganapathy,Coimbatore,Electric motor store,,,093632 49990,,,,,
Pumps Coimbatore,33DVTPM9267G1ZU,Rs. 40 lakhs to 1.5 Cr.,Ganapathy,Coimbatore,Water Pump Supplier,,,072000 22272,,,https://www.google.com/aclk?sa=L&ai=DChsSEwivxcX5oZ2VAxUvrGYCHWh8KdwYACICCAEQABoCc20&co=1&ase=2&gclid=CjwKCAjw3ejRBhAdEiwADkqPnyO10HW_HErI_9J9gShmYHIr8N7Tbz47ipXoCOzhin5UmsJbxR3FTBoCS6AQAvD_BwE&cid=CAASugHkaMek0lz_C_gz7WHXNroea_jptLj2MxtG0mMSIqYnt8C4d_lDQPBhBA6WvnxrxlP29ZtJ5UTKjLM-VSnAJix3l30CautoOKFVGXkrfKPlWjf9FBOYWLLz24jpnEQGqoAFNcg9liBipD0oBKhg0sJthoP9AeWULM2ROfLFzMcJC0wYbp73a9tVuBunOvYVnIgePwKUx7EOge0G-vzJB0LMUrSGZ1BmpxMwLlYnLcGGQjN0Ry2JG9-92i0&cce=2&category=acrcp_v1_32&sig=AOD64_34HcdJN4zaxUr1wDN6bfq5ZIOD3Q&adurl&q&ctype=99&nis=6,,
Point Sales & Services,33AAFFP7089P1ZH, Rs. 5 Cr. to 25 Cr.,Ganapathy,Coimbatore,Water Pump Supplier,,,098422 28809,,,https://www.google.com/aclk?sa=L&ai=DChsSEwivxcX5oZ2VAxUvrGYCHWh8KdwYACICCAEQAhoCc20&ae=2&aspm=1&co=1&ase=2&gclid=CjwKCAjw3ejRBhAdEiwADkqPn6FnO1qtIBLXXlbb2xDtMA3V5o2A0U_dzm1h3ew9w-sm4zNg3j3hfBoCxNsQAvD_BwE&cid=CAASugHkaMek0lz_C_gz7WHXNroea_jptLj2MxtG0mMSIqYnt8C4d_lDQPBhBA6WvnxrxlP29ZtJ5UTKjLM-VSnAJix3l30CautoOKFVGXkrfKPlWjf9FBOYWLLz24jpnEQGqoAFNcg9liBipD0oBKhg0sJthoP9AeWULM2ROfLFzMcJC0wYbp73a9tVuBunOvYVnIgePwKUx7EOge0G-vzJB0LMUrSGZ1BmpxMwLlYnLcGGQjN0Ry2JG9-92i0&cce=2&category=acrcp_v1_35&sig=AOD64_0ucZSglmusQYBItVY9_wC6oQX7yw&adurl&q&ctype=99&nis=6,,
Vijayaraja industries,33ALTPM9714F1ZR, Rs. 40 lakhs to 1.5 Cr.,Ganapathy,Coimbatore,Manufacturer,,,098946 65114,,,,,
Taro Pumps - Texmo Industries,,,Ganapathy,Coimbatore,Manufacturer,,,1800 102 8888,,,http://www.taropumps.com/,,
KVP INDUSTRIES,33AMCPJ3108L1ZC,Rs. 0 to 40 lakhs ,Ganapathy,Coimbatore,Manufacturer,,,,,,,,
Lakshmi Engineering Industries,33AABFL9585C1ZB,Rs. 5 Cr. to 25 Cr.,Ganapathy,Coimbatore,Manufacturer,,,084895 29425,,,https://www.indiamart.com/lakshmiengineeringindustries/,,
AKASSH INDUSTRY,33ALZPK4451D1ZZ,Rs. 0 to 40 lakhs,Ganapathy,Coimbatore,Manufacturer,,,080 4895 2481,,,http://akasshindustry.in/,,
DMF PUMPS,33ACKPJ0325P1ZK, Rs. 40 lakhs to 1.5 Cr.,Ganapathy,Coimbatore,Manufacturer,,,095439 49988,,,http://www.dmfpumps.in/,,
Nayagara Industrial products,33AFJPR3757H1Z6, Rs. 0 to 40 lakhs ,Ganapathy,Coimbatore,Manufacturer,,,099940 81943,,,,,
Sowmiya Industries,33BAEPS4398L1Z3,Rs. 0 to 40 lakhs ,Ganapathy,Coimbatore,Manufacturer,,,094802 28407,,,http://www.vrlpumps.com/,,
Goldwin Industries,,,Ganapathy,Coimbatore,Pump supplier,,,099946 64536,,,,,
Submersible Pump Set Manufacturers In Coimbatore by Thendral,,,Ganapathy,Coimbatore,Water Pump Supplier,,,080 3506 3681,,,,,
G.R.INNDWAY ENGINEERING ( G.R.PUMPS),33BPCPA3257B3ZN,,Ganapathy,Coimbatore,Manufacturer,,,099526 56464,,,http://coimbatorepumps.com/,,
